#{"t_start": 1602840871.2547147, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-431.91889,259,2.2987
-153.393311,75,2.958203
-453.387459,65,3.029913
-450.954059,55,3.709987
-573.230043,87,4.42993
-446.454166,80,5.136981
-213.480894,91,5.823118
-423.338832,105,6.526537
-588.4161,71,6.602532
-481.47103,66,7.260082
-274.348739,51,7.905012
-324.933569,54,7.955395
-242.369805,70,8.602978
-385.832879,87,9.266969
-240.21613,53,9.320454
-322.59033,60,9.978474
-191.684835,71,10.04212
-254.691592,53,10.690143
-329.043367,71,11.378508
-222.51436,66,11.444376
-159.257153,82,12.181735
-223.019373,90,12.953492
-172.34424,75,13.733912
-162.191723,65,14.510488
-182.796911,89,14.59838
-429.853802,95,15.382118
-150.305937,102,16.207772
-295.679364,87,17.01417
-131.660074,60,17.809985
-196.639867,104,18.657748
-253.430795,101,19.499514
-111.620808,128,20.365114
-120.535417,85,21.198752
-142.739522,129,22.209265
-151.702548,65,23.012076
-243.843614,105,23.861868
-171.673906,95,24.700213
-382.937608,126,25.60425
-308.264361,134,27.237788
-90.576638,186,28.228426
-108.862424,83,29.044531
-179.177545,110,29.900215
-287.855226,116,31.543632
-187.704769,120,32.435049
-304.799221,123,33.516321
-146.6132,60,34.337665
-138.931028,87,34.423487
-176.000359,155,36.130367
-170.486799,132,37.10629
-158.178735,115,38.069693
-63.601993,135,39.785672
-123.284655,63,39.850351
-213.378119,260,42.580601
-134.211225,62,43.395597
-225.763816,135,44.295445
-165.451261,101,45.239283
-126.193235,149,46.248461
-290.840727,127,48.031066
-207.41129,154,48.974932
-121.819989,117,49.84751
-171.897282,127,51.494356
-139.465913,68,51.561326
-139.904888,112,53.204007
-331.706028,161,54.197998
-274.430439,130,55.152585
-167.10353,139,56.923286
-159.197587,81,57.750562
-199.40607,127,58.691629
-161.669112,147,59.608207
-187.639252,124,61.291355
-167.790401,108,62.177066
-189.684992,130,63.101345
-91.860375,54,63.92405
-136.638122,141,64.847861
-233.26508,125,65.739611
-126.144066,71,66.576363
-220.607056,130,67.477327
-159.500296,119,68.378134
-145.691769,125,70.053454
-138.744049,78,70.129108
-150.640299,72,70.978367
-158.026806,114,71.880997
-180.332001,126,73.5644
-157.619814,99,74.421765
-145.044567,104,75.292281
-166.085977,118,76.172582
-160.547637,133,77.072057
-90.040522,129,78.060442
-104.358111,75,78.971526
-134.602286,78,79.881575
-141.692669,100,80.812399
-141.59529,145,81.809534
-119.34591,76,82.724032
-101.194165,112,83.692476
-130.44529,77,84.599371
-167.219567,151,86.235724
-169.813292,149,87.141572
-128.30253,346,89.982612
-202.391267,168,91.695466
-118.833001,159,93.396814
-201.479549,237,95.237342
-127.725442,125,96.157452
-135.184882,301,98.918373
-163.904255,369,102.686293
-157.100447,157,104.413204
-181.041054,339,107.220003
-136.763205,234,109.038133
-138.827877,406,112.840086
-119.381421,153,114.534023
-65.443091,364,118.220106
-75.513773,304,121.04966
-566.894097,234,122.874466
-99.587005,1000,133.243393
-183.756064,399,137.14878
-112.601303,1000,148.614524
-319.287257,374,152.161115
-154.636566,263,154.073188
-122.911521,1000,165.088041
-357.44684,895,175.429134
-129.819219,696,182.436605
-104.720196,956,193.653942
-277.392064,467,197.523981
-222.320204,519,203.140359
-74.91078,684,210.436046
-221.599128,220,212.267647
-194.33142,712,219.409948
-230.731697,972,229.465312
-92.364635,1000,240.126801
-254.092386,994,250.534274
-209.005661,708,258.358013
-183.35257,1000,267.805183
-179.298197,1000,278.344573
-429.683875,596,284.042523
-109.35202,219,285.860668
-65.104997,117,286.757403
