#{"t_start": 1602585710.1716993, "env_id": "DeeplengDocking-v1"}
r,l,t
-21866.55,22,15.018584
-20486.11,5,18.221983
-20352.2,4,20.89683
-20220.08,3,23.042671
-21673.53,16,32.03934
-21153.55,13,39.451503
-22221.82,40,61.081662
-20399.19,5,64.284122
-22913.9,28,79.593404
-20568.42,6,83.324371
-20396.88,4,86.000092
-20136.19,2,87.625543
-21095.24,13,95.045106
-20000,1,96.141119
-20716.29,8,100.925216
-20129.28,2,102.54892
-20271.05,3,104.700043
-20000,1,105.797575
-22837.83,30,122.913581
-20980.39,11,129.27935
-20314.54,4,131.958286
-20602.85,10,137.792956
-20940.64,11,144.152732
-20962.09,11,150.516912
-21177.98,13,157.935991
-20881.06,14,165.873766
-20936.5,10,171.708576
-21086.31,13,179.831165
-20667.05,9,185.138973
-20581.95,13,192.555131
-20795.8,9,197.866889
-20482.34,6,201.595956
-20736.66,8,206.380142
-21066.97,13,213.79811
-20316.5,4,216.474637
-20668.73,10,222.313075
-20599.18,8,227.097911
-20941.04,11,233.462566
-21217.05,16,243.062824
-20720.79,10,248.898391
-20688.07,15,257.367105
-20708.1,10,263.206393
-20884.71,15,271.669407
-20962.56,17,281.195312
-20811.79,10,287.035131
-20588.91,12,293.933406
-20853.68,9,300.295878
-20135.02,2,301.924249
-20000,1,303.024198
-20256.37,3,305.177355
-20127.66,2,306.805296
-20000,1,307.906538
-20000,1,309.007688
-20399.26,4,311.687343
-20000,1,312.786695
-20132.15,2,314.413679
-20136.65,2,316.038637
-20245.36,3,318.19192
-20000,1,319.295491
-20000,1,320.397909
-20000,1,321.499599
-20271.04,3,323.652667
-20000,1,324.752453
-20494.2,5,327.958427
-20269.64,3,330.11544
-20391.24,4,332.796685
-20131.52,2,334.427977
-20248.84,3,336.582645
-20368.74,4,339.260436
-20000,1,340.362648
-20136.81,2,341.98914
-20266.36,3,344.151449
-20253.4,3,346.306697
-20000,1,347.411797
-20000,1,348.514885
-20000,1,349.617181
-20000,1,350.718695
-20365.93,4,353.400016
-20000,1,354.50323
-20378.01,4,357.184594
-20361.79,4,359.865194
-20276.5,3,362.032411
-20000,1,363.136116
-20000,1,364.24066
-20000,1,365.342278
-20000,1,366.443163
-20263.37,3,368.596725
-20263.07,3,370.750972
-20376.09,4,374.307291
-20222.77,3,376.461039
-20000,1,377.5637
-20000,1,378.664345
-20233.93,3,380.820862
-20270.74,3,382.977113
-20000,1,384.080422
-20259.32,3,386.23731
