Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-48838.86	22907.836	-20000.0	-273568.34	7.2239885	-0.041299082	0.10746972	0.3017072	-0.22084004	5000	1.3651848e-07	2092155300.0	0.3775728	-1667669600.0	0.9189431	1.5825405	0.9386	1.0	3035.9156799316406
1	-37055.81	14259.865	-20000.0	-121187.28	4.3671327	-37811.28	2004.4944	-33555.402	-47050.06	10000	7.557869e-09	193269520.0	0.19536716	-38569410.0	0.91864055	0.76269877	0.8862	1.0	6324.584826231003
2	-28760.203	6824.5273	-20000.0	-60954.76	2.660096	-30459.86	2797.0405	-23281.574	-43570.1	15000	-7.2956086e-09	57101292.0	0.16268703	-21157164.0	0.918491	0.44557118	0.8478	1.0	10022.652490377426
3	-26224.943	4802.9644	-20000.0	-49439.94	2.1505377	-25035.102	2266.8264	-20922.39	-37345.938	20000	3.9100647e-09	20235074.0	0.17303212	-1555456.0	0.9183155	0.45958817	0.8544	1.0	13972.93725824356
4	-24557.756	4486.118	-20000.0	-42586.61	1.8335167	-23998.416	1724.268	-20837.373	-31170.578	25000	-2.117157e-08	15145624.0	0.22077279	-1202296.0	0.91820014	0.5307104	0.8594	1.0	18150.604283571243
5	-23852.938	4609.734	-20000.0	-40549.88	1.7055613	-23454.217	1584.2937	-19158.3	-28325.035	30000	7.05719e-09	13576027.0	0.23579629	-760692.0	0.9180464	0.5979306	0.872	1.0	22443.757725715637
6	-23546.535	4784.322	-20000.0	-40999.11	1.6490765	-23182.744	1767.4475	-18608.14	-26590.584	35000	-6.6757204e-09	14046100.0	0.21852763	-422089.0	0.91790676	0.45982027	0.8444	1.0	26794.21724152565
7	-23358.451	4844.148	-20000.0	-41388.0	1.613101	-23086.33	1987.2036	-19349.99	-26848.895	40000	2.1505356e-08	13980752.0	0.21559393	-189527.0	0.9178001	0.5839481	0.872	1.0	31182.915565490723
8	-23352.03	4840.083	-20000.0	-41800.88	1.6118633	-23041.701	1937.9963	-19432.115	-30123.58	45000	5.722046e-10	14374270.0	0.2061992	-126126.0	0.91769576	0.45701578	0.8524	1.0	35572.79526543617
9	-23213.326	4900.436	-20000.0	-41936.92	1.5888147	-22864.678	1940.1439	-19584.504	-25885.365	50000	-1.7929077e-08	14406091.0	0.12764983	-140383.0	0.9175973	0.2626701	0.7918	1.0	39987.22160387039
10	-23219.346	4835.8604	-20000.0	-41445.57	1.5888147	-22975.592	1960.3065	-19642.852	-25819.938	55000	3.7193297e-09	14081060.0	0.17814419	-159806.0	0.9174927	0.46492887	0.8388	1.0	44402.54621553421
11	-23082.697	4779.841	-20000.0	-41381.85	1.5649452	-22872.176	1960.0266	-19737.578	-25949.035	60000	-2.5463104e-08	13753149.0	0.2710526	-154127.0	0.91738266	0.75177914	0.8882	1.0	48846.076746463776
12	-22933.078	4623.973	-20000.0	-42366.84	1.533272	-22776.969	1946.5438	-19745.05	-25545.701	65000	1.7642975e-08	12956029.0	0.27846858	-177233.0	0.91724366	1.0716774	0.9222	1.0	53325.92432999611
