#{"t_start": 1599129303.3897023, "env_id": "DeeplengDocking-v1"}
r,l,t
-23961.88098,9,12.49042
-21790.066863,4,17.666695
-23310.595793,8,26.949757
-20441.049168,2,30.074167
-30230.997531,21,52.725115
-21247.160459,3,56.881286
-20894.863507,2,60.005414
-25141.796104,11,72.379094
-20000,1,74.472257
-20000,1,76.564816
-21059.051076,3,80.718941
-20000,1,82.813112
-20000,1,84.906888
-21216.916775,4,90.02985
-20000,1,92.127367
-20000,1,94.219048
-21873.029211,4,99.397809
-21040.476183,3,103.550097
-20000,1,105.643105
-20000,1,107.741265
-21910.770078,5,113.951678
-20704.87848,2,117.070892
-20000,1,119.167646
-25474.41718,10,130.506136
-21865.356193,4,135.686784
-20000,1,137.789077
-20000,1,139.88908
-26261.124943,13,154.309289
-20000,1,156.406859
-25016.158338,11,168.781074
-20000,1,170.87801
-21975.138856,5,177.078942
-21790.238473,4,182.253423
-20000,1,184.3452
-20000,1,186.441075
-25894.013382,13,200.866325
-20564.598051,2,203.984792
-21659.603492,5,210.196282
-20000,1,212.288823
-20000,1,214.379425
-20000,1,216.475368
-20000,1,218.572834
-20000,1,220.669551
-20000,1,222.762993
-20722.228065,2,225.89051
-20000,1,227.984308
-21218.197867,3,232.134794
-29499.851622,21,254.770114
-29708.640698,20,276.389446
-21238.290847,3,280.54287
-20000,1,282.641431
-22144.108895,6,289.87558
-20000,1,291.97209
-20000,1,294.071054
-23102.037559,7,302.339378
-30686.798278,23,326.816595
-23078.174039,7,334.910008
-20000,1,336.951702
-20000,1,338.992337
-20000,1,341.032636
-21213.982599,3,345.090333
-20827.081828,3,349.149206
-25497.528879,11,361.271785
-20000,1,363.313128
-20000,1,365.354054
-20000,1,367.39636
-20000,1,369.438352
-20000,1,371.478773
-20000,1,373.520153
-20912.177478,3,377.576558
-20000,1,379.617379
-20000,1,381.65932
-20479.044556,2,384.708546
-21614.296545,4,389.776678
-23805.419111,9,399.880126
-20000,1,401.919999
-22286.581065,6,409.002813
-20922.843346,3,413.060955
-26753.091718,15,429.473505
-27916.603865,16,446.990185
-20784.611065,3,451.128568
-20000,1,453.192575
-20000,1,455.286801
-20000,1,457.384863
-20000,1,459.481299
-21711.663656,4,464.661391
-20489.854024,2,467.781811
-20000,1,469.883838
-20971.983004,3,474.029493
-20000,1,476.12938
-25542.05499,13,490.551534
-20000,1,492.645501
-20000,1,494.74338
-20000,1,496.844068
-28260.120573,18,516.380581
-21613.235591,4,521.557043
-22762.242995,6,528.792617
-20000,1,530.891169
-20000,1,532.987298
-20000,1,535.08672
-20700.828562,2,538.217118
-20000,1,540.312354
-27937.908574,15,556.776954
-20000,1,558.873783
-25382.259873,12,572.270616
-20993.817744,3,576.418839
-20000,1,578.515377
-20433.965213,2,581.62663
-20849.93088,3,585.772732
-23769.831981,8,595.053113
-23870.625087,9,605.375699
-21062.220812,3,609.546878
-20541.077578,2,612.654603
-20569.891851,2,615.784904
-23508.544194,7,624.025144
-21754.110322,4,629.202829
-20000,1,631.307433
-20000,1,633.406903
-20000,1,635.505589
-20000,1,637.603547
-20646.943152,2,640.720447
-20000,1,642.814873
-22027.38334,5,649.020637
-22089.366967,5,655.226848
-20864.202604,3,659.377337
-20000,1,661.474776
-26171.01401,14,676.915325
-23426.061037,8,686.213239
-20528.380787,2,689.329537
-20000,1,691.418428
-20000,1,693.510974
-20000,1,695.605597
-25417.092035,10,706.963436
-24140.205034,9,717.282226
-34755.803046,28,747.123153
-20000,1,749.222492
-21585.764403,4,754.403121
-20000,1,756.501271
-20000,1,758.598372
-20000,1,760.690891
-21350.322645,3,764.849449
-25489.20948,12,778.242032
-20773.829352,3,782.386921
-27789.42856,17,800.904996
-20000,1,803.007742
-20000,1,805.103801
-20000,1,807.193593
-36716.681729,34,843.165027
-20000,1,845.259301
-22096.668582,5,851.46228
-25351.675861,11,863.833708
-20488.577299,2,866.961006
-20000,1,869.057631
-22659.780892,6,876.291016
-23300.845383,8,885.588954
-20000,1,887.683569
-21256.9603,4,892.863391
-20929.614683,3,897.007421
-29332.943109,20,918.62057
-21258.56711,4,923.797015
-21739.458207,5,930.007331
-27100.248392,14,945.447166
-20000,1,947.547845
-20000,1,949.642384
-21629.649787,4,954.82282
-20000,1,956.915532
-22162.545393,5,963.133151
-42882.262259,45,1010.417383
-20881.781152,3,1014.573647
-24304.21747,10,1025.91532
-20000,1,1028.002722
-20407.058235,2,1031.125185
-21670.242656,4,1036.300783
-22521.526769,6,1043.527265
-20000,1,1045.621546
-25690.806461,12,1059.019074
-23371.73668,8,1068.312383
-20000,1,1070.408201
-20521.028761,2,1073.537209
-20000,1,1075.627592
-23337.478536,7,1083.865042
-20000,1,1085.95941
-20876.913819,3,1090.100115
-21899.392384,5,1096.295547
-20000,1,1098.390935
-20529.399251,2,1101.511358
-20373.799491,2,1104.636484
-20000,1,1106.730625
-20000,1,1108.829369
-20000,1,1110.926599
-20000,1,1113.016791
-35258.465281,30,1144.899502
-25660.199134,12,1158.2942
-31610.631386,23,1182.999403
-20000,1,1185.104767
-23516.307333,8,1194.384559
-20000,1,1196.483223
-20000,1,1198.574914
-20465.056938,2,1201.701373
-25117.812318,10,1213.049339
-23153.203145,8,1222.307643
-20000,1,1224.37552
-22139.278664,6,1231.615785
-20418.968936,2,1234.728728
-20368.995209,2,1237.85462
-20000,1,1239.94529
-20000,1,1242.04382
-20000,1,1244.141978
-23493.646929,8,1253.428474
-23437.422182,8,1262.702639
-23367.499838,8,1271.995808
-20000,1,1274.088552
-25755.006857,12,1287.820238
-20000,1,1289.87324
-21635.078212,4,1295.052488
-23508.618035,8,1304.340616
-20000,1,1306.434983
-24263.573427,9,1316.773886
-22448.314645,6,1324.022021
-30009.917426,19,1344.60602
-20372.279952,2,1347.723153
-20596.991414,2,1350.854256
-20000,1,1352.952241
-20887.79892,3,1357.105592
-20781.901743,3,1361.255572
-20000,1,1363.353117
-21592.397242,4,1368.533006
-24329.369261,9,1378.844572
-20000,1,1380.945331
-21167.15315,3,1385.099441
-22038.167354,5,1391.304995
-20000,1,1393.403086
-28837.45524,19,1413.999134
-26417.550973,15,1430.483703
-23237.718457,8,1439.779356
-20000,1,1441.877628
-20000,1,1443.975757
-24264.138565,9,1454.290722
-20000,1,1456.388771
-21545.818726,4,1461.565575
-20000,1,1463.663406
-20422.340313,2,1466.787124
-21242.682462,4,1471.964204
-20000,1,1474.059407
-21027.785203,3,1478.208148
-21021.822428,3,1482.363426
-20760.804808,2,1485.489816
-24931.525765,11,1497.858841
-20383.192904,2,1500.981098
-20528.852155,2,1504.107059
-20000,1,1506.203051
-20000,1,1508.299319
-20417.213502,2,1511.41964
-31082.689269,24,1537.159432
-20000,1,1539.257128
-20000,1,1541.356944
-30420.393901,23,1566.061202
-20000,1,1568.158901
-22138.690224,5,1574.365158
-25724.904059,12,1587.761028
-22324.068723,5,1593.971087
-20000,1,1596.068937
-20000,1,1598.161482
-20372.553104,2,1601.288343
-20000,1,1603.382972
-22885.03343,6,1610.616938
-20000,1,1612.717653
-21600.491833,4,1617.897799
-20376.464027,2,1621.01714
-27021.1975,15,1637.491754
-26385.107722,13,1651.922956
-25541.229257,12,1665.324959
-22067.067463,5,1671.528564
-20000,1,1673.623533
-20826.386065,3,1677.778648
